UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
SP,sao jose do rio preto,1450,504166.0,2.8760368608751876
SC,sao carlos,30,10462.0,2.867520550563946
MG,juiz de fora,1627,567730.0,2.8657988832719776
PB,pedra lavrada,20,6980.0,2.865329512893983
GO,colinas do sul,12,4188.0,2.865329512893983
RS,sao lourenco do sul,124,43278.0,2.865197097832617
AM,amatura,33,11533.0,2.8613543744038847
SC,faxinal dos guedes,33,11537.0,2.860362312559591
RS,bom retiro do sul,36,12587.0,2.8600937475172796
MG,cassia,50,17491.0,2.8586130009719284
MA,benedito leite,16,5599.0,2.8576531523486337
MG,itacarambi,50,17502.0,2.8568163638441324
MA,pastos bons,55,19266.0,2.854770061247794
BA,presidente janio quadros,37,12963.0,2.854277559206974
PR,andira,57,19989.0,2.85156836259943
RS,pinhal grande,11,3861.0,2.849002849002849
MG,serra do salitre,35,12286.0,2.848770958814911
BA,coaraci,50,17557.0,2.8478669476562053
GO,corumbaiba,27,9484.0,2.846900042176297
RS,frederico westphalen,96,33726.0,2.8464685998932575
RJ,porto real,60,21089.0,2.845085115463038
MG,guarda-mor,19,6687.0,2.841333931508898
RS,nova bassano,28,9867.0,2.837741968176751
TO,pium,21,7408.0,2.8347732181425487
RS,rio pardo,101,35641.0,2.8338149883561066
BA,caetite,155,54730.0,2.832084779828248
MA,sao joao do caru,35,12360.0,2.8317152103559873
AM,itapiranga,31,10955.0,2.8297581013235966
RS,restinga seca,43,15205.0,2.8280170996382767
GO,itapirapua,23,8133.0,2.827984753473503
RS,sobradinho,41,14512.0,2.825248070562293
BA,macurure,21,7435.0,2.8244788164088765
TO,araguacema,17,6022.0,2.82298239787446
PR,roncador,32,11339.0,2.822118352588412
RN,serra negra do norte,22,7800.0,2.8205128205128207
PR,assai,38,13477.0,2.8196186094828226
MA,sao jose dos basilios,20,7094.0,2.81928390188892
PR,sao pedro do ivai,24,8514.0,2.8188865398167726
PB,catole do rocha,91,32288.0,2.818384539147671
SE,estancia,189,67060.0,2.8183716075156577
RS,serafina correa,49,17407.0,2.8149594990521054
RN,santa cruz,110,39101.0,2.8132272831896885
PR,carlopolis,50,17788.0,2.810883741848437
GO,itaja,12,4276.0,2.806361085126286
RJ,rio das flores,26,9267.0,2.8056544728606885
RS,pelotas,943,336150.0,2.805295255094452
